homology_id	occurrence_id	source_label	support_type	comparable_start	comparable_end	confidence
H_Adh_A	Dmel_Adh_A	Adh_source	curated_alignment	0	140	high
H_Adh_A	Dsim_Adh_A	Adh_source	curated_alignment	0	140	high
H_Adh_A	Dere_Adh_A	Adh_source	curated_alignment	0	140	high
H_yande_Y	Dmel_yande_Y	yande_source	curated_alignment	0	140	high
H_yande_Y	Dsim_yande_Y	yande_source	curated_alignment	0	140	high
H_yande_Y	Dere_yande_Y	yande_source	curated_alignment	0	140	high
H_yande_Y	Dyak_jgw_Y	yande_source	curated_alignment	0	140	high
H_Adh_A	Dyak_jgw_A	Adh_source	curated_alignment	0	140	high
H_yande_Y	Dtei_jgw_Y	yande_source	curated_alignment	0	140	high
H_Adh_A	Dtei_jgw_A	Adh_source	curated_alignment	0	140	high
H_yande_Y	Dyak_hidden_Y2	yande_source	sequence_synteny_hidden	0	15	medium
