family_id	unit_id	parent	child	probability_different_endpoints	probability_at_least_one_edit	expected_edits	expected_split	expected_fusion	expected_acceptor_shift	expected_donor_shift	expected_exonization	expected_exon_inactivation	expected_dna_insertion	expected_dna_deletion
Example_gene	split	root	AB	0.25841285812845594	0.3023494668188892	0.3585335553832785	0.07510649353931771	0.2793592374743561	0.0012037201663663776	0.0012037201663663778	0.0010310683734579436	0.0006293156634140356	0.0	0.0
Example_gene	split	AB	A	0.10610318361502646	0.15915905655995377	0.21794082929816047	0.05512099497503848	0.16097465838667283	0.0005632621349600862	0.0005632621349600863	0.0003098573861889543	0.0004087942803400624	0.0	0.0
Example_gene	split	AB	B	0.10610318361502646	0.15915905655995377	0.21794082929816047	0.05512099497503848	0.16097465838667283	0.0005632621349600862	0.0005632621349600863	0.0003098573861889543	0.0004087942803400624	0.0	0.0
Example_gene	split	root	CD	0.25551079839090607	0.29947280655452146	0.35559725113867857	0.22600742235504925	0.12559905678033173	0.0009003046496929777	0.0009003046496929777	0.0017341010782250912	0.0004560616256865904	0.0	0.0
Example_gene	split	CD	C	0.41168169042087466	0.44660042031459624	0.49984986968838285	0.043199126077995496	0.4541966228350078	0.0006848227347067072	0.0006848227347067074	0.00029598775247128824	0.0007884875534949552	0.0	0.0
Example_gene	split	CD	D	0.5885010435062197	0.6125364458274458	0.6621860466988228	0.6235986769906374	0.035999659188947784	0.0004993067574169311	0.0004993067574169312	0.0012500413223388712	0.00033905568206495936	0.0	0.0
Example_gene	fusion	root	AB	0.2510661364145653	0.29501180258312043	0.3508804112701778	0.12466954793467308	0.2226573107758969	0.0007473767412600836	0.0007473767412600838	0.0013959489901035718	0.0006628500869842081	0.0	0.0
Example_gene	fusion	AB	A	0.39286240318682153	0.4283249388104512	0.48132607839938396	0.4357032392114043	0.04348915648590318	0.00035445064468263336	0.0003544506446826334	0.0010384365013751083	0.00038634491133620263	0.0	0.0
Example_gene	fusion	AB	B	0.6073114710018234	0.6306188956615448	0.6803201382860982	0.035566937342048764	0.6419525724561823	0.0007432021160569024	0.0007432021160569026	0.00028301684271299534	0.0010312074130404115	0.0	0.0
Example_gene	fusion	root	CD	0.24828004388360037	0.29225289265563525	0.34806725354444595	0.2703206714735718	0.07426802163916096	0.00045432763449896897	0.0004543276344989691	0.0021026860584740935	0.00046721910424123587	0.0	0.0
Example_gene	fusion	CD	C	0.09792271259107466	0.15061249511799957	0.2086626126051681	0.15249009053690715	0.054780260091839894	0.0001317761218776587	0.00013177612187765872	0.000671136438195225	0.00045757329447051245	0.0	0.0
Example_gene	fusion	CD	D	0.09792271259107466	0.15061249511799957	0.2086626126051681	0.15249009053690715	0.054780260091839894	0.0001317761218776587	0.00013177612187765872	0.000671136438195225	0.00045757329447051245	0.0	0.0
Example_gene	boundary	root	AB	0.020961959631913496	0.021356066331190915	0.021968769636687962	0.0	0.0	0.0	0.019985030863314407	0.0015706885337369257	0.000413050239636629	0.0	0.0
Example_gene	boundary	AB	A	0.000447509835867832	0.0008498745208037617	0.0012595936885297617	0.0	0.0	0.0	0.0008065011282821458	0.0002464552614528434	0.00020663729879477258	0.0	0.0
Example_gene	boundary	AB	B	0.000447509835867832	0.0008498745208037617	0.0012595936885297617	0.0	0.0	0.0	0.0008065011282821458	0.0002464552614528434	0.00020663729879477258	0.0	0.0
Example_gene	boundary	root	CD	0.020961959631913496	0.021356066331190804	0.02196876963668797	0.0	0.0	0.0	0.019977448179250176	0.0011952319391198658	0.0007960895183179299	0.0	0.0
Example_gene	boundary	CD	C	0.9604714911310382	0.9604874031278303	0.9703962627561219	0.0	0.0	0.0	0.9503242786354418	0.01043514897831834	0.00963683514236191	0.0	0.0
Example_gene	boundary	CD	D	0.04032682270491761	0.040713134178725685	0.041517446816817204	0.0	0.0	0.0	0.03953679355472306	0.0013894835490252848	0.0005911697130688539	0.0	0.0
Example_gene	deletion	root	AB	0.000806799454565521	0.0010066047936514444	0.001206531023397357	0.0	0.0	0.0	0.0	0.0009986750175992455	0.0002078560057981116	0.0	0.0
Example_gene	deletion	AB	A	2.396427622852748e-05	0.00022392615625999035	0.00042390456214658786	0.0	0.0	0.0	0.0	0.00022393441918776535	0.00019997014295882249	0.0	0.0
Example_gene	deletion	AB	B	2.396427622852748e-05	0.00022392615625999035	0.00042390456214658786	0.0	0.0	0.0	0.0	0.00022393441918776535	0.00019997014295882249	0.0	0.0
Example_gene	deletion	root	CD	0.0008067994545658541	0.0010066047936518885	0.001206531023397357	0.0	0.0	0.0	0.0	0.000607257428430694	0.0005992735949666633	0.0	0.0
Example_gene	deletion	CD	C	0.000806799454565299	0.0010066047936513334	0.001206531023397358	0.0	0.0	0.0	0.0	0.0010066652389817026	0.00019986578441565553	0.0	0.0
Example_gene	deletion	CD	D	1.0	1.0	1.0099666668888876	0.0	0.0	0.0	0.0	7.361127581341701e-05	0.009893055613073366	0.0	1.0000000000000009
Annotation_control	uncertainty	root	AB	0.19038454098080781	0.23838244199621328	0.2958038679352231	0.08142088074428376	0.21051084946780865	0.0011325659670605788	0.0011325659670605793	0.00107906095194112	0.0005279448370684613	0.0	0.0
Annotation_control	uncertainty	AB	A	0.08492514048932986	0.13923800366478867	0.1984025070025714	0.05594724819904409	0.14065516322415042	0.0005526683901976198	0.00055266839019762	0.0003123218685524936	0.0003824369304291454	0.0	0.0
Annotation_control	uncertainty	AB	B	0.08492514048932986	0.13923800366478867	0.1984025070025714	0.05594724819904409	0.14065516322415042	0.0005526683901976198	0.00055266839019762	0.0003123218685524936	0.0003824369304291454	0.0	0.0
Annotation_control	uncertainty	root	CD	0.18937271507522946	0.2373794718163187	0.29478010241347846	0.1340336739876593	0.15690115561498055	0.0010267777656833496	0.0010267777656833498	0.0013241788225170693	0.0004675384569548898	0.0	0.0
Annotation_control	uncertainty	CD	C	0.19146748535340918	0.23945669124678548	0.29669230662070945	0.05179059503410106	0.2428893026095692	0.0005950514474206774	0.0005950514474206774	0.00030748611189495835	0.0005148199703028951	0.0	0.0
Annotation_control	uncertainty	CD	D	0.25311694065044543	0.2973115889631268	0.35329208890170416	0.2541514539788699	0.09708164883306167	0.0005303698458355173	0.0005303698458355174	0.0006401243773349428	0.0003581220207667184	0.0	0.0
